time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.3810712632363372e-07,1.388917650805595e-07,10.01272568337962,6.282744556238482,0.00016951177936963546,0.0,-2.1440744697461183e-05,-1.784992218183922e-05,0.42413032210328727,-0.029089643449951488,0.007949412327269825,0.0,529.3301539075594,529.8767744536239,531.129208474507,529.1308176050296
0.12000000000000001,-8.645725764862668e-06,-2.1409618545221933e-05,10.04716933741021,6.280765302481587,0.0008434718627414739,0.0,-0.0003354121007709957,-0.0009434782974908534,0.7238500034258402,-0.042217933413304584,0.017101227951362957,0.0,496.01788317065694,496.68928587580035,497.073637063478,496.1104525127364
0.18,-5.157955379626578e-05,-0.00014082960692346123,10.094669902588583,6.2781763013972665,0.0021809443060778477,0.0,-0.0012241247934032802,-0.0033115660874890804,0.8594085615605336,-0.04508198631332144,0.031049047784542566,0.0,448.7440789004509,449.8747320552126,448.00028967294446,447.7663658834344
0.23999999999999996,-0.00018714789598160022,-0.00047502433441568866,10.153192476879761,6.275590066445577,0.0037046179116586586,0.0,-0.003504316385578589,-0.0081483161492618,1.091149188927613,-0.039416356700214164,0.010603805012172635,0.0,477.9743546369508,476.4139299746195,477.8803257990039,478.3110466124104
0.3,-0.0004820795152437984,-0.0011417462903408236,10.22313704595526,6.27320076957535,0.0039167754029270085,0.0,-0.006379407065071475,-0.01433424657276296,1.240183999382357,-0.040644485485804044,-0.016908333107613225,0.0,454.3653877137443,452.15458230891187,453.58512360966694,453.485721226833
0.36000000000000004,-0.0009520340687227486,-0.0022432984387352126,10.303046872295155,6.270295748629527,0.0034838678569641957,0.0,-0.009207811413397144,-0.02267778145904767,1.423263930396332,-0.07231069112555351,0.007291348733583754,0.0,462.7185058164146,464.6195580832153,465.65880500796936,463.17367930532214
0.4200000000000001,-0.001570681250894726,-0.0038578875238306403,10.389364643731282,6.266426145212636,0.003801941541548004,0.0,-0.011448590748118399,-0.031514751189292936,1.4539508027795305,-0.052226799536575004,0.000989908376014066,0.0,417.40431955864653,416.8539937110352,414.79343662392915,416.549757219324
0.48000000000000015,-0.0023494796802800443,-0.006164496383839574,10.482961167822493,6.263819473271742,0.0033643845715074505,0.0,-0.01450006854771646,-0.04570259933868407,1.6656430945713248,-0.03000102642291403,-0.03414467013557469,0.0,474.0139475453376,471.3065044216982,472.65822998764276,474.3668147104015
0.5400000000000001,-0.003282084996999596,-0.009318571642440763,10.586166378470699,6.262328153464278,0.0014465918029120672,0.0,-0.01638176793976815,-0.059598427018209096,1.7743648246470134,-0.016161319988953357,-0.027923615213147984,0.0,441.54739485545974,442.05989481374195,442.4700348881028,443.6077213444334
0.6000000000000002,-0.004287276792760944,-0.013308348135916843,10.694637637085572,6.261279780342807,6.282804850232707,0.0,-0.01695499705189688,-0.07348983956105361,1.8412359233250801,-0.02023406393967549,-0.036055244767573505,0.0,430.25969566841843,429.5703938359999,429.1143573093528,428.7685719911462
0.6600000000000003,-0.005286275006973516,-0.018234144658440456,10.810777988007569,6.2598379393531705,6.280460703495926,0.0,-0.016086716064829424,-0.09084779574352315,2.0297894307619226,-0.03297581896684235,-0.045903391673346096,0.0,467.8682528828585,467.1002290787149,467.8607965761844,466.86769677454976
0.7200000000000003,-0.00616302934851987,-0.024334493846901447,10.942304452281713,6.258143523003838,6.277254532880747,0.0,-0.012747950182779869,-0.11272916431646156,2.3538092330761184,-0.02014286789336431,-0.07608468267280272,0.0,508.1818777377553,506.01221216366946,506.03382453735094,506.9565678784717
0.7800000000000004,-0.006741272243780227,-0.031798967033697834,11.093687780436923,6.258022703829951,6.273615154097543,0.0,-0.0059836285494397155,-0.13614069348291538,2.691563554760819,0.020488187155342882,-0.040414032681155856,0.0,510.6323568501106,513.168045480503,510.1899443993377,513.0826275707655
0.8400000000000004,-0.006898491712781184,-0.04047173267736656,11.257735155104747,6.259203579439973,6.2717728277915015,0.0,0.0009489628825161598,-0.15282665094652953,2.776479903948672,0.01801663861856964,-0.016183912386920803,0.0,437.4761005552038,439.4885412692829,439.93434001982047,439.729617647022
0.9000000000000005,-0.006623306747730683,-0.05008933243412637,11.425483382880195,6.260056028079884,6.2706466577348365,0.0,0.008319714216822814,-0.1676672621699333,2.8150336855732516,0.005226121784509389,-0.024519215488987705,0.0,424.7278443358398,424.012386716296,425.4438862861173,424.3472463885746
0.9600000000000005,-0.005877038560920654,-0.06059470539763079,11.596007608719042,6.260381998333269,6.269119617432368,0.0,0.01669684019779386,-0.18247886993724363,2.8689711548912387,0.005843114183116579,-0.027381601051710634,0.0,430.03112551601834,429.7884507368696,429.7918203895434,429.8440167596384
1.0200000000000005,-0.004588168621625269,-0.07199884635899266,11.770488588125824,6.26032314091052,6.267856627111394,0.0,0.026403847939164903,-0.19763523164661587,2.946861158689647,-0.02034517604245111,-0.010705025574568525,0.0,436.1571400802107,437.54767357493796,439.9495253694285,437.77584502244366
1.0800000000000005,-0.0027283561237149544,-0.0842700154853212,11.947523337520883,6.259630183343946,6.26784972614176,0.0,0.03561329458919984,-0.21148467597445866,2.954274239201061,0.0019133840209881701,0.015390869776692965,0.0,414.0026305367351,416.292455108478,414.39095877057775,416.34308609652567
1.1400000000000006,-0.00027342428921162544,-0.09745472289135024,12.128152301611141,6.259978399598262,6.269437227212311,0.0,0.04607667259261697,-0.22797451359576307,3.066398390425482,0.01262772220756682,0.042477174301896514,0.0,448.04742852387693,450.2443393480651,448.62116641930106,449.490217776962
